timedelta_ms,Xacc,Yacc,Zacc
7408,7.000646,-3.323152,1.982399
7428,6.751649,-3.371036,1.656788
7448,6.914454,-3.457227,1.493982
7468,7.077260,-4.127604,2.145205
7488,7.134721,-4.558560,3.763685
7513,6.359000,-4.759673,4.386178
7533,-1.771709,-3.102885,0.785298
7553,9.107543,-6.052542,3.514688
7573,8.667010,-5.899313,5.487510
7593,6.981492,-6.062119,5.544971
7613,8.197746,-5.707777,5.181053
7633,8.169016,-5.516241,5.248090
7653,7.201759,-5.621585,4.903325
7673,6.339846,-5.736507,4.778827
7693,6.675035,-7.603985,3.275268
7713,10.017340,-6.378153,2.346318
7733,11.951855,-0.708684,1.120486
7753,5.171476,-1.541866,5.085284
7773,12.325351,-4.060566,2.327164
7793,5.219360,-7.326257,0.057461
7813,6.684611,-5.018247,0.517148
7833,11.961432,-0.392649,3.189077
7853,10.821792,-2.020706,3.246537
7873,7.939173,-4.874595,2.298434
7893,4.520253,-8.121132,1.139640
7913,4.395754,-8.245630,1.015141
7933,6.234501,-5.516241,2.039860
7953,8.734048,-3.371036,2.987964
7973,8.944737,-3.294421,1.991976
7993,8.427590,-3.715801,0.488417
8013,8.216900,-4.041412,0.363919
8033,8.121132,-3.840300,0.919373
8053,8.216900,-3.821146,1.273715
8073,8.188169,-4.108450,1.532289
8093,8.130709,-4.721366,1.656788
8113,7.680599,-5.018247,1.570596
8133,7.278373,-4.979939,1.618480
8153,7.623138,-4.654328,1.800440
8173,8.178593,-4.108450,1.608904
8193,8.667010,-3.763685,0.833182
8213,8.935161,-3.840300,0.248997
8233,8.906430,-3.801992,0.057461
8253,8.686164,-3.754108,0.363919
8273,8.465898,-4.213795,0.842759
8293,7.805098,-5.267244,1.216254
8313,6.588843,-5.870583,1.790863
8333,6.330269,-6.272809,2.595315
8353,7.240066,-6.378153,2.499547
8373,8.954314,-6.665458,1.513135
8393,10.342952,-5.669470,2.097321
8413,8.130709,-5.410896,2.269703
8433,8.245630,-5.554548,3.466804
8453,9.433155,-4.970363,2.949656
8473,10.170568,-4.462792,2.135628
8493,9.682152,-4.357447,0.785298
8513,9.375694,-4.252102,-0.162806
8533,10.036493,-3.869030,-0.421380
8553,10.850522,-4.012682,0.651223
8573,10.074800,-4.654328,2.547431
8593,7.307104,-5.497087,3.447650
8613,5.353435,-6.196194,4.031836
8633,4.970363,-5.516241,1.561020
8653,5.908890,-4.625597,2.039860
8673,7.201759,-4.654328,1.513135
8693,7.929596,-4.491522,1.436521
8713,7.891289,-4.740520,1.101333
8733,7.565677,-4.893748,1.618480
8753,7.307104,-5.248090,2.413355
8773,7.316680,-5.535394,2.834735
8793,7.364564,-5.726931,2.978387
8813,7.287950,-5.458780,3.150769
8833,7.354988,-5.410896,2.940080
8853,7.987057,-8.121132,2.489970
8873,7.948750,-5.190629,3.610456
8893,7.699753,-4.797980,3.313575
8913,7.374141,-4.127604,2.949656
8933,6.799533,-4.357447,1.982399
8953,6.473921,-5.152322,0.746991
8973,7.422025,-5.612009,0.651223
8993,8.868123,-4.970363,3.007117
9013,9.356541,-4.711789,4.424485
9034,6.646304,-5.765238,4.759673
9054,4.683059,-6.493075,1.982399
9074,6.100426,-6.713342,1.015141
9094,7.067683,-5.640739,-2.384625
9114,9.481039,-2.585738,-2.604892
9134,11.846510,0.890643,0.210690
9154,13.857639,-0.411803,3.495534
9174,11.166556,-5.238513,5.506664
9194,7.680599,-8.619126,0.957681
9214,2.470816,-19.613300,-14.164097
9234,10.649409,-3.849876,0.545878
9254,8.283937,-3.514688,1.426944
9274,6.675035,-4.932055,1.359907
9294,6.722919,-5.880159,1.082179
9314,7.814674,-5.497087,0.354342
9334,7.987057,-5.142745,1.733402
9354,8.312668,-4.673482,2.059013
9374,8.197746,-4.587290,1.599327
9394,8.312668,-4.750096,0.507571
9414,8.360553,-4.817134,-0.268151
9434,8.647857,-4.759673,0.067038
9454,8.925584,-4.673482,0.248997
9474,8.657434,-4.491522,0.296881
9494,8.274361,-4.386178,0.660800
9514,8.427590,-4.338294,0.823605
9534,8.341399,-4.079720,1.005565
9554,8.216900,-4.185065,1.139640
9574,8.475474,-4.127604,1.063026
9594,8.619126,-4.376601,0.785298
9614,8.599973,-4.836287,0.450110
9634,8.532935,-4.750096,0.497994
9654,8.130709,-4.865018,0.814029
9674,8.159439,-4.472369,0.785298
9694,8.159439,-4.453215,0.536301
9714,8.015787,-4.893748,0.153229
9734,7.479486,-5.267244,0.239420
9754,7.268796,-5.755661,0.632069
9774,8.312668,-6.818686,1.637634
9794,10.151415,-6.809110,3.581726
9814,10.400413,-5.851429,3.399766
9834,10.170568,-3.744531,3.658340
9854,10.840945,-2.997540,1.752556
9874,10.055647,-2.700660,0.162806
9894,8.676587,-2.193089,0.421380
9914,7.460332,-1.877054,0.450110
9934,6.780379,-3.131616,1.120486
9954,8.034941,-3.610456,2.853889
9974,9.318233,-4.022259,3.629610
9994,9.069236,-4.405331,3.658340
10023,8.552089,-3.936068,3.916914
10043,9.212888,-3.581726,2.786851
10063,9.567230,-3.055001,1.407791
10083,9.174581,-2.461239,0.565032
10103,8.542512,-2.528277,1.168370
10123,7.996634,-3.083732,2.260126
10143,7.441179,-3.821146,2.920926
10163,7.680599,-3.945644,2.825158
10183,7.718906,-2.949656,1.896208
10203,9.624691,-2.806004,1.024718
10223,7.556100,-3.897760,3.189077
10243,6.713342,-4.405331,2.901772
10263,6.876147,-3.964798,2.997540
10283,7.058106,-3.600879,3.074155
10303,7.230489,-3.160346,3.208230
10323,6.876147,-3.390190,2.758120
10343,7.019799,-3.658340,2.231396
10363,7.230489,-3.658340,4.108450
10383,6.952762,-3.715801,5.161899
10403,6.636727,-4.041412,4.903325
10423,6.799533,-4.338294,4.443638
10443,6.895301,-5.066131,4.616021
10463,7.249643,-5.621585,5.985504
10483,7.517793,-5.774815,6.770802
10503,7.316680,-5.995081,6.799533
10523,6.521805,-5.659893,6.033388
10543,7.967903,-6.473921,4.635174
10563,11.530476,-7.738060,3.801992
10583,12.871228,-3.447650,2.432509
10603,11.894394,-1.292869,3.447650
10623,9.691729,-1.771709,4.932055
10643,7.651869,-5.343858,1.532289
10663,4.932055,-6.675035,-1.340753
10683,6.244078,-3.275268,-0.708684
10703,9.892841,-1.101333,0.383072
10723,11.070788,-1.656788,0.881066
10743,9.346964,-4.204218,1.972822
10763,6.617573,-6.330269,2.049437
10783,-0.306458,-4.673482,6.521805
10803,5.535394,-6.387730,0.402226
10823,8.494628,-3.179500,2.221819
10843,7.958326,-3.533842,2.087744
10863,8.599973,-4.098873,1.561020
10883,8.494628,-4.395754,0.526724
10903,8.542512,-4.012682,0.335188
10923,8.408437,-3.840300,0.871489
10943,8.130709,-4.242526,1.149217
10963,7.728483,-4.759673,1.130063
10983,7.565677,-4.999093,1.015141
11003,7.402872,-4.970363,0.775721
11023,7.527370,-4.481946,1.379060
11043,7.785944,-4.098873,1.561020
11063,7.881712,-4.079720,1.522712
11083,7.594408,-4.031836,1.082179
11103,7.192182,-4.414908,0.842759
11123,6.837840,-4.855441,0.814029
11143,7.268796,-5.525817,0.392649
11163,8.341399,-5.497087,0.593762
11183,9.404425,-5.008670,1.273715
11203,9.825804,-5.372589,2.432509
11223,8.992621,-5.592855,2.748544
11243,7.651869,-5.420473,2.528277
11263,6.809110,-6.387730,2.566584
11283,6.761226,-6.426037,2.949656
11303,7.259220,-6.387730,3.418920
11323,6.598420,-6.282385,2.700660
11343,9.327810,-6.732495,3.926491
11363,8.695741,-5.468357,3.801992
11383,7.479486,-5.956774,4.252102
11403,6.933608,-4.836287,3.208230
11423,10.189722,-4.472369,2.422932
11443,12.555194,-4.175488,1.158794
11463,12.641385,-3.677494,0.268151
11483,10.840945,-5.477933,-0.718261
11503,9.308656,-5.200206,0.708684
11523,7.479486,-5.276821,2.576161
11543,6.694188,-5.295974,5.669470
11563,6.454768,-5.238513,5.918467
11583,7.192182,-3.945644,4.367024
